Ano;Trimestre;Região;Instituição;Código Capítulo Diagnóstico Principal;Descrição Capítulo Diagnóstico Principal;Taxa Internamento;Dias de Internamento;Taxa Mortalidade
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;2.97;1058;1.72
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;10;Doenças do aparelho respiratório;25.729999999999997;6105;10.93
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;11;Doenças do aparelho digestivo;10.23;1594;2.5
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;15;Gravidez, parto e puerpério;6.8500000000000005;440;0.0
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, E.P.E.;4;Doenças endócrinas, nutricionais e metabólicas;2.12;995;3.7699999999999996
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, E.P.E.;7;Doenças do olho e anexos;0.04;18;0.0
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, E.P.E.;9;Doenças do aparelho circulatório;13.01;6567;10.32
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, E.P.E.;14;Doenças do aparelho geniturinário;7.199999999999999;2702;6.13
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, E.P.E.;2;Neoplasias;5.29;1334;4.91
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.44999999999999996;165;0.0
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, E.P.E.;12;Doenças da pele e do tecido subcutâneo;0.75;284;0.0
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;8;Doenças do ouvido e da apófise mastóide;0.12;7;0.0
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;10;Doenças do aparelho respiratório;16.3;2209;11.940000000000001
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;22;Códigos para fins especiais;0.5499999999999999;79;0.0
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, E.P.E.;7;Doenças do olho e anexos;1.03;269;0.0
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, E.P.E.;9;Doenças do aparelho circulatório;18.84;16668;6.0600000000000005
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, E.P.E.;10;Doenças do aparelho respiratório;9.19;8383;8.790000000000001
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, E.P.E.;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;0.13;6;0.0
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, E.P.E.;6;Doenças do sistema nervoso;0.86;56;0.0
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, E.P.E.;11;Doenças do aparelho digestivo;12.24;743;0.54
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;1.3599999999999999;381;7.140000000000001
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, E.P.E.;10;Doenças do aparelho respiratório;19.509999999999998;4095;23.380000000000003
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, E.P.E.;11;Doenças do aparelho digestivo;11.07;1780;7.46
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, E.P.E.;16;Algumas condições originadas no período perinatal;0.05;2;0.0
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, E.P.E.;19;Lesões, envenenamento e algumas outras consequências de causas externas;9.81;2688;4.95
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;4;Doenças endócrinas, nutricionais e metabólicas;1.67;203;3.6999999999999997
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;2.17;717;0.0
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;14;Doenças do aparelho geniturinário;6.45;755;5.7700000000000005
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;10;Doenças do aparelho respiratório;17.330000000000002;1289;26.63
2024;Primeiro;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.46;217;20.830000000000002
2024;Primeiro;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.63;428;8.33
2024;Primeiro;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, E.P.E.;14;Doenças do aparelho geniturinário;5.9799999999999995;4409;8.93
2024;Primeiro;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, E.P.E.;16;Algumas condições originadas no período perinatal;0.33;161;0.0
2024;Primeiro;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, E.P.E.;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;13.36;4747;3.02
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, E.P.E.;9;Doenças do aparelho circulatório;5.8999999999999995;1194;11.360000000000001
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, E.P.E.;14;Doenças do aparelho geniturinário;5.29;652;10.13
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.88;358;2.33
2024;Primeiro;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.97;292;10.530000000000001
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;10;Doenças do aparelho respiratório;15.68;6385;10.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;12;Doenças da pele e do tecido subcutâneo;1.18;550;3.3300000000000005
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;14;Doenças do aparelho geniturinário;8.74;3264;3.81
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;15;Gravidez, parto e puerpério;11.31;1689;0.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.44999999999999996;558;0.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;6;Doenças do sistema nervoso;1.77;553;16.36
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;11;Doenças do aparelho digestivo;10.57;2316;3.04
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;17;Malformações congénitas, deformações e anomalias cromossómicas;0.1;4;0.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;19;Lesões, envenenamento e algumas outras consequências de causas externas;9.030000000000001;2342;2.1399999999999997
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;8.55;1096;1.13
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Santo António, E.P.E.;11;Doenças do aparelho digestivo;10.08;4878;1.44
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Santo António, E.P.E.;14;Doenças do aparelho geniturinário;6.800000000000001;3312;2.13
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Santo António, E.P.E.;15;Gravidez, parto e puerpério;10.02;3001;0.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Santo António, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;0.9900000000000001;397;6.67
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de São João, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.65;816;1.47
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de São João, E.P.E.;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;1.18;2028;0.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de São João, E.P.E.;10;Doenças do aparelho respiratório;11.66;10278;8.01
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de São João, E.P.E.;15;Gravidez, parto e puerpério;2.88;1232;0.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de São João, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;0.74;318;6.49
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;1;Algumas doenças infecciosas e parasitárias;5.36;4055;32.12
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;2;Neoplasias;9.54;4672;14.31
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.6;369;8.110000000000001
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;6;Doenças do sistema nervoso;1.6199999999999999;912;8.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Nordeste, E.P.E.;16;Algumas condições originadas no período perinatal;0.18;45;0.0
2024;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Nordeste, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.33;343;9.379999999999999
